Nâng cấp bắt đầu: 23:06:40_05-10-2023
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.structure.min.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.theme.min.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/language/jquery.validator-fr.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/language/jquery.validator-vi.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/plyr/index.html | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/plyr/plyr.css | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/plyr/plyr.polyfilled.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/plyr/plyr.svg | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/site.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/js/upload.js | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file assets/tpl/rss.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file composer.json | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file data/certs/cacert.pem | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/action_mysql.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/api/ClearCache.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/constants.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/admin_access.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/admin_functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/admin_login.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/admin_login_zalo.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/admin_logout.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/captcha.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/cronjobs.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/filesystem_functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/is_admin.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/is_user.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/stat.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/statimg.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/theme_functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/core/user_functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/countries.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/footer.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/ini/mime.ini | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/ini.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/en/admin_authors.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/en/admin_global.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/en/admin_settings.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/en/admin_upload.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/en/admin_zalo.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/en/global.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/en/install.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/fr/admin_authors.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/fr/admin_global.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/fr/admin_settings.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/fr/admin_upload.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/fr/admin_zalo.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/fr/global.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/fr/install.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/vi/admin_authors.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/vi/admin_global.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/vi/admin_settings.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/vi/admin_upload.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/vi/admin_zalo.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/vi/functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/vi/global.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/language/vi/install.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/mainfile.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/plugin/qrcode.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/timezone.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/utf8/iconv_string_handler.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/utf8/mb_string_handler.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/utf8/php_string_handler.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file includes/xtemplate.class.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file index.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/action_mysql.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/config.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/data.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/data_by_lang.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/default.htaccess.txt | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/index.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/ini.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/template.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/tpl/step1.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/tpl/step2.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/tpl/step3.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/tpl/step4.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/tpl/step5.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/tpl/step6.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/tpl/step7.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/tpl/step8.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/tpl/theme.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/tpl/updatetheme.tpl | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file install/update.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/action_mysql.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/admin/add_banner.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/admin/edit_banner.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/admin/info_plan.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/admin/main.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/admin/show_list_stat.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/admin.functions.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/admin.menu.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/funcs/addads.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/funcs/click.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/funcs/viewmap.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/language/admin_en.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/language/admin_fr.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/language/admin_vi.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/language/en.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/language/fr.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/language/vi.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/banners/version.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/comment/action_mysql.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/comment/admin/config.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/comment/admin/edit.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/comment/comment.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/comment/funcs/post.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/comment/language/admin_en.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/comment/language/admin_fr.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/comment/language/admin_vi.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/comment/version.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/contact/admin/config.php | SUCCESS
23:06:53_05-10-2023 | ::1 | Di chuyển file modules/contact/admin/supporter-content.php | SUCCESS
